Year,Month,Total Blood Smears Examined for Malaria,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,Inpatient - Malaria,Inpatient - Dengue,Inpatient - Typhoid,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",Inpatient - Tuberculosis,Inpatient - Diarrhea with dehydration,Inpatient - Hepatitis,Specific Humidity,Relative Humidity,T2M,T2M_MAX,T2M_MIN,District
2019,January,93,0,0,0,0,17,31,0,5,4,4.556129032258065,54.7216129032258,10.31903225806452,17.46838709677419,5.491935483870968,Almora
2019,February,182,0,0,0,0,31,57,2,15,2,5.708928571428571,59.25214285714286,12.34214285714286,19.30785714285714,7.223214285714286,Almora
2019,March,169,0,0,0,10,14,45,1,9,3,6.038709677419354,49.42709677419355,16.4341935483871,24.24548387096774,9.956451612903225,Almora
2019,April,160,0,0,0,0,15,45,4,16,3,7.577333333333333,40.71466666666667,23.56433333333333,31.24933333333333,16.478,Almora
2019,May,251,0,0,0,0,44,68,6,31,4,6.921290322580645,30.04225806451613,27.31193548387096,35.19258064516129,19.73870967741935,Almora
2019,June,265,0,0,0,0,37,74,10,126,4,10.67166666666667,39.50433333333334,29.436,36.08033333333334,22.67166666666667,Almora
2019,July,152,0,1,0,0,29,40,3,45,4,17.62677419354839,75.64903225806451,25.96548387096774,30.33967741935484,22.34548387096774,Almora
2019,August,317,1,0,0,59,58,82,18,46,6,18.52903225806451,85.24967741935482,24.55064516129032,28.1358064516129,21.75290322580645,Almora
2019,September,849,1,4,0,16,114,69,3,28,5,17.09,86.45533333333333,22.988,26.49566666666667,20.10966666666667,Almora
2019,October,535,0,0,0,6,109,82,6,19,3,10.35322580645161,65.20838709677419,19.69354838709678,25.28774193548387,15.37612903225807,Almora
2019,November,288,0,0,0,5,37,49,6,7,2,6.750666666666667,51.932,16.88766666666667,23.745,12.46166666666667,Almora
2019,December,172,0,0,0,0,31,47,1,6,0,4.402903225806452,51.01,10.48064516129032,17.77225806451613,5.771612903225806,Almora
2018,January,127,0,0,0,0,10,24,4,17,2,3.220645161290323,37.40677419354839,11.26064516129032,20.2741935483871,5.9,Almora
2018,February,143,0,0,0,0,19,38,2,7,2,4.235,38.34821428571428,14.92214285714286,23.11357142857143,9.27,Almora
2018,March,154,0,0,0,0,27,53,6,17,3,4.713548387096774,32.18612903225807,19.89677419354839,28.46870967741935,12.91193548387097,Almora
2018,April,129,0,0,0,0,18,29,1,14,5,6.890333333333333,35.74933333333333,24.02966666666667,31.43466666666666,17.17533333333333,Almora
2018,May,269,1,0,0,0,41,58,12,30,1,6.778064516129032,28.57645161290323,27.91903225806452,35.46161290322581,20.51516129032258,Almora
2018,June,264,0,0,0,0,40,64,7,40,5,14.20733333333333,55.246,28.13633333333333,34.00733333333334,22.89133333333333,Almora
2018,July,336,0,0,0,0,348,53,9,50,4,18.06612903225806,79.2558064516129,25.55516129032258,29.58935483870968,22.26032258064516,Almora
2018,August,432,0,0,0,0,42,48,5,41,4,18.5041935483871,89.0974193548387,23.72290322580645,26.88741935483871,21.34225806451613,Almora
2018,September,561,1,0,0,0,68,57,5,25,1,16.52966666666667,86.056,22.543,26.458,19.61333333333333,Almora
2018,October,369,1,0,1,0,52,57,3,12,3,9.848064516129034,66.4716129032258,18.56451612903226,24.46483870967742,13.78193548387097,Almora
2018,November,205,0,0,0,0,15,25,2,9,1,7.140666666666666,59.41866666666667,15.527,22.185,11.154,Almora
2018,December,103,0,0,0,0,30,41,2,9,1,4.518387096774194,49.6541935483871,11.37870967741936,19.04870967741935,6.863870967741936,Almora
2017,January,99,0,0,6,0,26,63,1,28,1,4.352903225806451,48.91709677419355,11.43709677419355,19.02483870967742,6.531935483870968,Almora
2017,February,158,1,0,0,0,26,55,2,16,0,4.483214285714285,39.255,15.36785714285714,23.88785714285714,9.371785714285716,Almora
2017,March,316,0,0,0,0,16,36,4,16,1,5.000645161290323,37.66548387096775,18.19580645161291,26.36645161290323,11.62741935483871,Almora
2017,April,248,0,0,5,0,0,5,0,5,0,5.784333333333334,28.10966666666667,25.279,33.37933333333334,17.90233333333333,Almora
2017,May,249,0,0,0,0,0,41,0,18,3,8.95,36.93548387096774,27.65161290322581,34.46580645161291,21.14935483870968,Almora
2017,June,309,0,0,0,0,7,65,7,48,1,13.10433333333333,52.282,27.87566666666667,34.0,22.21733333333333,Almora
2017,July,309,0,0,0,0,44,16,6,42,1,18.1058064516129,81.30483870967741,25.04516129032258,28.64967741935484,21.93483870967742,Almora
2017,August,465,1,0,5,0,10,60,9,12,5,18.28290322580645,86.14935483870968,24.14161290322581,27.66258064516129,21.25451612903226,Almora
2017,September,595,0,0,0,0,13,27,3,75,0,16.212,81.595,23.21266666666667,27.43966666666667,19.78166666666667,Almora
2017,October,432,0,0,4,0,35,73,4,9,3,10.05483870967742,60.13161290322581,20.42741935483871,26.71483870967742,15.49645161290323,Almora
2017,November,220,0,0,5,0,17,64,6,7,1,6.456333333333333,51.82266666666667,15.95466666666667,23.34466666666667,11.23166666666667,Almora
2017,December,156,0,0,0,0,8,12,4,6,3,4.731290322580644,43.68935483870968,14.07096774193548,21.77483870967742,9.55225806451613,Almora
2016,January,243,0,0,-1,-1,-1,-1,-1,-1,-1,3.572258064516129,38.70451612903226,11.72032258064516,19.64612903225806,6.678709677419355,Almora
2016,February,102,0,0,-1,-1,-1,-1,-1,-1,-1,4.001724137931034,35.64551724137931,15.06827586206897,23.32413793103448,9.194827586206896,Almora
2016,March,153,0,0,-1,-1,-1,-1,-1,-1,-1,5.798387096774194,39.25,19.68193548387097,27.49,13.42161290322581,Almora
2016,April,192,0,0,-1,-1,-1,-1,-1,-1,-1,5.734666666666667,27.19433333333334,25.52733333333333,33.543,18.39966666666667,Almora
2016,May,349,0,0,-1,-1,-1,-1,-1,-1,-1,9.422903225806452,39.95967741935484,27.20322580645162,33.80870967741935,20.96387096774194,Almora
2016,June,231,4,0,-1,-1,-1,-1,-1,-1,-1,14.355,55.60166666666667,28.082,33.35133333333333,23.115,Almora
2016,July,232,2,0,-1,-1,-1,-1,-1,-1,-1,18.26806451612903,83.65290322580644,24.67903225806451,28.14516129032258,21.98290322580645,Almora
2016,August,457,2,0,-1,-1,-1,-1,-1,-1,-1,18.21225806451613,85.41129032258064,24.21967741935484,27.55451612903226,21.43774193548387,Almora
2016,September,383,3,0,-1,-1,-1,-1,-1,-1,-1,16.05133333333334,81.08333333333333,23.11933333333333,27.47466666666667,19.57133333333333,Almora
2016,October,268,3,0,-1,-1,-1,-1,-1,-1,-1,9.187096774193549,53.26709677419355,20.80483870967742,27.29225806451613,16.11322580645161,Almora
2016,November,150,0,0,-1,-1,-1,-1,-1,-1,-1,4.796333333333333,37.185,16.95666666666667,25.283,11.94566666666667,Almora
2016,December,158,0,0,-1,-1,-1,-1,-1,-1,-1,3.639677419354839,34.80838709677419,13.83290322580645,22.61451612903226,8.786774193548387,Almora
2015,January,366,0,0,-1,-1,-1,-1,-1,-1,-1,4.543548387096774,53.23096774193549,10.60709677419355,17.96129032258064,5.818709677419355,Almora
2015,February,402,0,0,-1,-1,-1,-1,-1,-1,-1,5.574285714285714,49.2525,14.73,22.15535714285715,9.530357142857143,Almora
2015,March,356,0,0,-1,-1,-1,-1,-1,-1,-1,7.493870967741936,59.80645161290322,16.62838709677419,23.24096774193548,11.45806451612903,Almora
2015,April,195,0,0,-1,-1,-1,-1,-1,-1,-1,8.941,52.92066666666667,21.56166666666667,28.05,15.415,Almora
